name,value,year,lastValue,rank
Citi,8620,2011,8646.7,40
Nestl??,8588,2015,8529.2,52
Siemens,8553,2015,8564.9,53
Goldman Sachs,8536,2013,8442.3,44
Siemens,8503,2013,8406.1,45
Allianz,8498,2015,8418.4,54
Goldman Sachs,8495,2005,8440.9,32
Sony,8474,2017,8458.1,61
Colgate,8464,2015,8439.1,55
Google,8461,2005,8461,33
eBay,8453,2010,8342.7,39
Colgate,8413,2016,8418.1,57
Sony,8408,2013,8478.3,46
Gucci,8346,2010,8329.6,40
Colgate,8325,2017,8333.8,62
Philips,8325,2008,8266.6,38
SAP,8323,2004,8262.1,28
Sony,8315,2016,8253.7,58
Samsung,8310,2002,8116.4,25
Kellogg's,8306,2005,8278.3,34
Gucci,8254,2008,8198.3,39
Colgate,8215,2014,8176.8,50
Danone,8205,2014,8181.3,51
Morgan Stanley,8205,2017,8104.5,63
3M,8199,2016,8103.4,59
Nintendo,8190,2003,8292.9,26
Gucci,8182,2009,8189.2,37
Nike,8167,2003,8122.7,27
Hewlett Packard Enterprise,8157,2018,8236.4,65
Sony,8133,2014,8160.5,52
Philips,8121,2009,8141.4,38
AXA,8120,2014,8017.6,53
Netflix,8111,2018,7859.1,66
Zara,8065,2011,8005.3,41
Canon,8055,2004,7968.7,29
Porsche,8055,2015,7966.6,56
Kellogg's,8029,2004,7969.9,30
Nike,8015,2000,8015,21
Accenture,8005,2011,7952.6,42
Nestl??,8000,2014,7952.7,54
eBay,7991,2008,7937.5,40
Apple,7985,2005,7873.6,35
L'Or??al,7981,2010,7957.7,41
Citi,7973,2013,7932.7,47
Danone,7968,2013,7921,48
Ford,7958,2012,7910.5,43
Goldman Sachs,7954,2004,7862.5,31
Accenture,7948,2008,7882.8,41
Siemens,7943,2008,7922.4,42
Cartier,7924,2015,7876.5,57
Siemens,7900,2011,7841.5,43
Ford,7896,2008,8004.6,43
adidas,7885,2016,7777.6,60
Goldman Sachs,7862,2001,7862,23
Amazon,7858,2009,7715.6,39
Volkswagen,7857,2011,7760.5,44
Volkswagen,7834,2000,7834,22
Colgate,7833,2013,7814,49
Siemens,7828,2006,7795.9,37
IKEA,7817,2005,7753.5,36
Visa,7815,2017,7808.2,64
Audi,7767,2013,7709.9,50
L'Or??al,7748,2009,7724,40
Visa,7747,2016,7659.3,61
Philips,7741,2007,7639.9,37
Harley-Davidson,7739,2006,7699.7,38
Cartier,7738,2016,7756.6,62
Siemens,7737,2007,7746.1,38
Facebook,7732,2013,7500.9,51
Nintendo,7731,2011,7856.9,45
Nintendo,7730,2007,7612.9,39
Nike,7724,2002,7710.5,26
Harley-Davidson,7718,2007,7720.1,40
SAP,7714,2003,7620.1,28
Accenture,7710,2009,7733.8,41
Allianz,7702,2014,7602.8,55
Sony,7702,2015,7745.1,58
Gucci,7697,2007,7643.1,41
Cartier,7646,2018,7636.1,67
Colgate,7643,2012,7591.4,44
Nissan,7623,2014,7481,56
Herm??s,7616,2013,7472.6,52
Harley-Davidson,7609,2008,7619.9,44
Goldman Sachs,7599,2012,7748.2,45
Nike,7589,2001,7631.6,24
Adobe,7586,2016,7453.1,63
Huawei,7578,2018,7487.8,68
Citi,7570,2012,7675,46
HSBC,7565,2003,7565,29
Banco Santander,7547,2018,7462.5,69
Cartier,7547,2017,7566.1,65
Mastercard,7545,2018,7425.5,70
adidas,7535,2013,7451.4,53
Siemens,7534,2012,7570.6,47
Nestl??,7527,2013,7465.9,54
L'Or??al,7508,2008,7461.7,45
Siemens,7507,2005,7503.3,37
Danone,7498,2012,7441.8,48
Starbucks,7490,2016,7367.6,64
Ford,7483,2011,7454.2,46
Accenture,7481,2010,7503.9,42
Hyundai,7473,2012,7326.2,49
Siemens,7470,2004,7470,32
Zara,7468,2010,7400.1,43
eBay,7456,2007,7385.9,42
Cartier,7449,2014,7393.8,57
Kellogg's,7438,2003,7413.3,30
adidas,7378,2014,7393.7,58
Kellogg's,7357,2000,7357,23
eBay,7350,2009,7414.1,42
Harley-Davidson,7346,2005,7317.1,38
Volkswagen,7338,2001,7387.6,25
AXA,7327,2007,7327,43
Siemens,7315,2010,7314.3,44
Siemens,7308,2009,7371.5,43
Accenture,7296,2007,7239.2,44
3M,7243,2015,7136.4,59
Morgan Stanley,7218,2012,7159.6,50
Volkswagen,7209,2002,7221.9,27
Morgan Stanley,7200,2016,7188.3,65
Audi,7196,2012,7093.5,51
Ford,7195,2010,7176,45
Goldman Sachs,7194,2002,7260.8,28
Canon,7192,2003,7144.9,31
Kellogg's,7191,2002,7172.4,29
IKEA,7182,2004,7155.6,33
Porsche,7171,2014,7101,59
Gucci,7158,2006,7104.1,39
Colgate,7127,2011,7106.2,47
Caterpillar,7125,2013,7043.1,55
AXA,7096,2013,7061.2,56
Morgan Stanley,7083,2015,7008.1,60
Nintendo,7082,2012,7146.9,52
Harley-Davidson,7057,2004,7028.8,34
Louis Vuitton,7054,2002,7053.9,30
Louis Vuitton,7053,2001,7036.4,26
Volkswagen,7047,2008,6993.4,46
L'Or??al,7045,2007,6979.7,45
Goldman Sachs,7039,2003,7054.5,32
LEGO,7024,2017,6990.7,66
Ford,7005,2009,7094.1,44
Kellogg's,7005,2001,7040.2,27
AXA,7001,2008,7033.6,47
Volkswagen,6938,2003,6965.1,33
Danone,6936,2011,6878.7,48
Kia,6925,2018,6900.8,71
Colgate,6919,2010,6882.1,46
IKEA,6918,2003,6880.7,34
Nestl??,6916,2012,6885.7,53
Morgan Stanley,6911,2010,6859.8,47
Cartier,6897,2013,6756.8,57
Volkswagen,6892,2010,6851.2,48
FedEx,6890,2018,6826.5,72
Louis Vuitton,6887,2000,6887,24
Apple,6871,2004,6739.3,35
Visa,6870,2015,6782.8,61
Caterpillar,6812,2014,6843.3,60
adidas,6811,2015,6867.7,62
Zara,6789,2009,6705.6,45
Harley-Davidson,6775,2003,6724.1,35
SAP,6775,2002,6728.2,31
eBay,6755,2006,6649.6,40
AXA,6748,2012,6742.6,54
Philips,6730,2006,6647.1,41
Accenture,6728,2006,6669.4,42
Canon,6721,2002,6706.9,32
Allianz,6710,2013,6657.4,58
