name,value,year,lastValue,rank
IKEA,10913,2008,10830.4,31
Nike,10897,2006,10818.7,27
Oracle,10887,2005,10891.8,23
Canon,10876,2008,10846.5,32
Ford,10876,2014,10706.5,39
Goldman Sachs,10864,2017,10715.4,44
SAP,10850,2007,10765.7,30
Samsung,10846,2003,10592.4,23
Budweiser,10838,2001,10822.6,21
Allianz,10821,2018,10744.8,49
Zara,10821,2013,10687.7,36
Accenture,10800,2015,10708.2,42
L'Or??al,10798,2015,10734.4,43
J.P. Morgan,10773,2008,10839,33
adidas,10772,2018,10616.4,50
Sony,10754,2005,10954.5,24
Adobe,10748,2018,10579.2,51
UPS,10712,2006,10633.1,28
Porsche,10707,2018,10649.2,52
Morgan Stanley,10691,2003,10742.4,24
Budweiser,10684,2000,10684,20
L'Or??al,10674,2017,10699.6,45
Goldman Sachs,10663,2007,10560.7,31
NESCAF??,10651,2013,10694.8,37
Kellogg's,10634,2018,10667.8,53
Citi,10599,2017,10566.7,46
Canon,10581,2007,10519.7,32
AXA,10579,2016,10446.5,46
HSBC,10534,2017,10526.4,47
HSBC,10510,2009,10773.3,30
HSBC,10458,2016,10577.8,47
Canon,10441,2009,10484.5,31
HP,10433,2018,10343.8,54
HSBC,10429,2005,10253.2,25
Kellogg's,10428,2009,10356.2,32
Hyundai,10409,2014,10268.5,40
HP,10386,2016,11653,48
Gucci,10385,2014,10361.6,41
Canon,10380,2018,10320.8,55
Morgan Stanley,10340,2007,10282.2,33
Goldman Sachs,10331,2008,10364.2,34
Audi,10328,2015,10278.3,44
Citi,10276,2016,10226.8,49
Philips,10264,2014,10218.9,42
Citi,10254,2009,11246,33
J.P. Morgan,10205,2006,10130,29
L'Or??al,10162,2014,10133.2,43
Gucci,10151,2013,10080.5,38
Siemens,10132,2018,10117,56
Porsche,10129,2017,10069.8,48
Nike,10114,2005,10028.6,26
IKEA,10087,2007,9954.6,34
Allianz,10059,2017,10005.9,49
SAP,10007,2006,9906.9,30
Siemens,9982,2017,9925.3,50
Gucci,9969,2017,9910.6,51
Canon,9968,2006,9875.6,31
UPS,9923,2005,9923,27
Accenture,9882,2014,9840.9,44
Sony,9880,2011,10027.6,34
L'Or??al,9874,2013,9768.7,39
Audi,9831,2014,9624.6,45
Philips,9813,2013,9738.3,40
eBay,9805,2011,9669.8,35
Canon,9788,2017,9917.3,52
Citi,9784,2015,9679.3,45
J.P. Morgan,9782,2004,9715.8,25
Morgan Stanley,9777,2005,9949.1,28
Morgan Stanley,9762,2006,9763.5,32
Kellogg's,9710,2008,9673.1,35
J.P. Morgan,9693,2002,9693,23
Amazon,9665,2010,9484.3,34
Goldman Sachs,9640,2006,9525.5,33
Starbucks,9615,2018,9523.9,57
J.P. Morgan,9550,2009,9672.3,34
HP,9541,2017,9625.5,53
Porsche,9537,2016,9388.8,50
Danone,9533,2018,9511.9,58
Allianz,9528,2016,9425,51
Goldman Sachs,9526,2015,9449.2,46
Zara,9488,2012,9345.7,36
Accenture,9471,2013,9398.4,41
Nintendo,9460,2001,9460,22
J.P. Morgan,9455,2005,9487.7,29
Gucci,9446,2012,9377.7,37
Siemens,9415,2016,9328.8,52
Philips,9400,2015,9486.4,47
Gucci,9385,2016,9334.7,53
Goldman Sachs,9378,2016,9392.8,54
Goldman Sachs,9372,2010,9359.6,35
Kellogg's,9341,2007,9284.5,35
Danone,9322,2017,9309.5,54
Sony,9316,2018,9231.8,59
Nike,9260,2004,9150.7,26
AXA,9254,2015,9140.6,48
Volkswagen,9252,2012,9112.5,38
Goldman Sachs,9248,2009,9356.3,35
Nintendo,9219,2002,9243.1,24
adidas,9216,2017,9082.9,55
Nintendo,9210,2009,9166.2,36
Danone,9197,2016,9140.5,55
Ford,9181,2013,9058.7,42
Apple,9130,2006,9015.5,34
J.P. Morgan,9120,2003,9177.3,25
Sony,9111,2012,9187.9,39
3M,9104,2018,9088.3,60
Goldman Sachs,9091,2011,9119.1,36
Nissan,9082,2015,8936.1,49
Philips,9066,2012,9025.2,40
Adobe,9060,2017,8912.6,56
Canon,9044,2005,8945.1,30
Visa,9021,2018,8900.4,61
SAP,9006,2005,8937.7,31
Hyundai,9004,2013,8850.9,43
Nintendo,8990,2010,9012,36
Ford,8982,2007,9189.4,36
Herm??s,8977,2014,8840.9,46
Hewlett Packard Enterprise,8951,2017,9158.6,57
3M,8947,2017,8872.2,58
Nestl??,8938,2018,8917,62
Citi,8887,2010,9023.7,37
Gucci,8882,2015,9032.3,50
L'Or??al,8821,2012,8808.8,41
Morgan Stanley,8802,2018,8742.3,63
Kellogg's,8776,2006,8729,35
Nintendo,8772,2008,8667.8,36
Gucci,8763,2011,8721.3,37
IKEA,8763,2006,8668.4,36
Goldman Sachs,8758,2014,8735.8,47
Accenture,8745,2012,8671,42
Citi,8737,2014,8660.6,48
Nestl??,8728,2017,8726,59
Nestl??,8708,2016,8696,56
Starbucks,8704,2017,8582.6,60
L'Or??al,8699,2011,8627.2,38
Morgan Stanley,8696,2008,8860.4,37
Philips,8696,2010,8638.5,38
Siemens,8672,2014,8655.1,49
HSBC,8671,2004,8560.4,27
Colgate,8659,2018,8625.6,64
Philips,8658,2011,8661.8,39
Danone,8632,2015,8589.3,51
